Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
DX,9.409586006,2.550997085,0.27706422,0,0.197012138,0,0.183967217,0.194414297,35,0.112842285,0.03883051,0.111065791,0.020098059
AZ,9.457788347,6.783795974,0.183266235,0,0.103548226,0,0.099648977,0.114501603,29,0.102978458,0.057639403,0.083929544,0.071947721
CQ,10.15024246,13.97517876,0.21381517,0,0.053760282,0,0.052276054,0.094728363,23,0.095006806,0.07367611,0.06385184,0.089524617
DG,10.31938878,96.22881172,0.168411186,0,0.076633596,0,0.083442598,0.098579708,37,0.121501164,0.245209623,0.108007943,0.168671166
HR,10.34356853,9.996293221,0.50088824,0,0.113109174,0,0.104386926,0.211990304,73,0.170863468,0.111010743,0.152443594,0.106076656
KZ,10.76355845,12.50338092,0.276476101,0,0.04317144,0,0.048320391,0.109486564,33,0.117189175,0.083474685,0.10570067,0.087348655
BJ,10.89224953,8.80101915,0.106208888,0,0.10741688,0,0.101022895,0.093128911,23,0.098418173,0.058467495,0.088937366,0.061323191
GG,10.92122272,50.81768749,0.163521229,0,0.074147633,0,0.097027611,0.101821902,57,0.155140665,0.221171398,0.146656164,0.245914581
Q,10.98828182,17.91159426,0.245561665,0,0.028231498,0,0.039575567,0.093901302,38,0.127060126,0.107211903,0.104487138,0.122158765
AN,11.176375,38.338,0.245528455,0,0.047761194,0,0.141730134,0.138185178,20,0.0929647,0.113792545,0.077550006,0.137354363
GQ,11.24512742,18.21716067,0.20952381,0,0.053763441,0,0.05858579,0.095972677,42,0.13513238,0.113670842,0.103257037,0.128851398
KT,11.27828874,45.07289534,0.325901328,0,0.046328497,0,0.057302921,0.128363742,62,0.164425829,0.217238932,0.136996626,0.231769418
JM,11.280128,4.982788741,0.215757576,0,0.084681296,0,0.09233928,0.117362877,75,0.180859046,0.079442144,0.167000506,0.087021395
O,11.55548322,52.8287037,0.256265664,0,0.087944664,0,0.108182104,0.136387906,24,0.103550516,0.146327072,0.07666802,0.179345662
FT,11.56808086,121.4646319,0.1966193,0,0.053260808,0,0.068692571,0.096422008,37,0.128642393,0.275492555,0.118117433,0.293069546
KU,11.65032799,300.3491254,0.156825397,0,0.042629784,0,0.044288378,0.073556224,28,0.112305411,0.37685674,0.103209332,0.464163973
DI,11.67733547,18.79284937,0.227130665,0,0.07190022,0,0.072177342,0.110221716,47,0.145671099,0.122131961,0.126207163,0.125935027
B,11.68488535,10.59587409,0.192074849,0,0.075362319,0,0.076854901,0.102403919,23,0.101936269,0.064152915,0.091237892,0.069481157
KY,11.7961875,28.79173437,0.251980198,0,0.071042471,0,0.088794732,0.123956112,40,0.135068295,0.139459465,0.100433083,0.139924828
LG,12.2505,19.3455,0.06,0,0.032786885,0,0.0559023,0.046560995,20,0.097329501,0.080833068,0.086806809,0.048282481
IQ,12.28111643,141.0482394,0.277399381,0,0.083356565,0,0.090943919,0.135219007,34,0.127060621,0.284581968,0.120147833,0.325518273
S,12.44089988,33.33615451,0.212121212,0,0.102436323,0,0.124556373,0.13271244,24,0.10744448,0.11623782,0.07455521,0.126880013
BL,12.68078512,0.673271976,0.066956995,0,0.068181818,0,0.067891511,0.060488601,22,0.103857294,0.015815783,0.072088903,0.01834508
GY,12.68774065,38.30254401,0.215238095,0,0.077458256,0,0.072818633,0.108179551,49,0.155039649,0.178031125,0.12323784,0.163436928
AV,12.71366667,9.273518519,0.14267101,0,0.030656934,0,0.036225304,0.06272004,30,0.121436328,0.068543612,0.113843581,0.088765148
JH,12.79261111,12.49775926,0.148669202,0,0.024265645,0,0.052596994,0.069645824,60,0.17226927,0.112531935,0.162975846,0.132427835
JI,12.95517155,18.81141998,0.201499531,0,0.082412211,0,0.070058712,0.10398337,33,0.128567484,0.102388657,0.116554873,0.098616445
IL,12.96296028,2.497811107,0.206140351,0,0.051388889,0,0.055458725,0.093215516,72,0.189963837,0.055109964,0.146510616,0.05504785
CO,13.09786567,8.772420597,0.151182275,0,0.040197924,0,0.050235489,0.072694766,41,0.144093631,0.077935574,0.133409062,0.094184248
LY,13.24934377,5.641324498,0.245612,0,0.122532534,0,0.118201932,0.144089133,394,0.449260137,0.193741536,0.382050918,0.213630004
LB,13.964,34.0416,0.331597052,0,0.062818792,0,0.090027343,0.146276135,50,0.164301872,0.169540738,0.154582148,0.158650487
EA,13.96529507,17.55336318,0.289059886,0,0.103781208,0,0.135505762,0.159940201,98,0.230033287,0.170442263,0.169335424,0.193802708
DF,14.352375,16.182375,0.288235294,0,0.076923077,0,0.090029351,0.136306003,20,0.105348771,0.073929916,0.09544865,0.092677575
FJ,14.828,28.225,0.299224806,0,0.087654321,0,0.075075308,0.135892205,20,0.107080127,0.097637367,0.080527719,0.121128745
Y,14.95822564,7.540452653,0.244437213,0,0.073532957,0,0.113717774,0.132003833,62,0.1893601,0.088854339,0.16168404,0.093050139
KV,14.991375,374.1355,0.284768212,0,0.076264591,0,0.074589907,0.130368588,20,0.107668415,0.355478667,0.096128346,0.448458053
DQ,15.01202104,16.90157776,0.227272727,0,0.066576546,0,0.072784679,0.109436065,22,0.113001319,0.079242661,0.090519053,0.093494723
CF,15.35525827,2.444053018,0.121812021,0,0.079897731,0,0.074959669,0.081863516,84,0.223316491,0.058881524,0.102732275,0.062982093
CI,15.358464,17.3536,0.320496894,0,0.08,0,0.085032039,0.144489915,25,0.121841851,0.085595096,0.108937691,0.099697408
CS,15.66891399,10.75086552,0.28068916,0,0.058823529,0,0.063701767,0.120010697,28,0.130241999,0.071299226,0.110475269,0.08334428
JQ,15.84456076,13.00844191,0.216346154,0,0.053215452,0,0.05739627,0.097420767,52,0.178481975,0.106880481,0.15005391,0.124474912
AG,16.16606653,18.41415895,0.21865716,0,0.132352941,0,0.123396103,0.140258548,36,0.150005099,0.10580624,0.135059986,0.123684865
JX,16.31354166,22.75274142,0.226179067,0,0.117223623,0,0.119263254,0.13778008,61,0.196151501,0.153096714,0.14114241,0.181026544
CW,16.48979592,13.43073102,0.172839506,0,0.070874862,0,0.065868907,0.09153739,21,0.115709729,0.069015011,0.093092065,0.083396978
HO,16.59806922,12.33695931,0.192404623,0,0.051864231,0,0.078062881,0.098229109,37,0.154092761,0.087798888,0.14152341,0.091014773
KP,16.7755102,17.80196523,0.260162602,0,0.124255952,0,0.106858106,0.144334301,21,0.11670786,0.079456185,0.104805636,0.094613668
GB,16.8050379,46.65040233,0.226086957,0,0.073607748,0,0.086911595,0.116206016,35,0.150801743,0.166052648,0.13756136,0.166698909
ET,17.20449119,6.362139918,0.224899598,0,0.044404077,0,0.061366529,0.099696102,27,0.13401561,0.053860152,0.10829662,0.054391432
DE,17.32236357,1.086950059,0.198245825,0,0.069627738,0,0.093637121,0.109673177,58,0.197092529,0.032628933,0.184130828,0.034774732
AI,17.69602725,11.55743628,0.311355311,0,0.023673419,0,0.100864862,0.136540507,52,0.188621916,0.100743379,0.192249989,0.111977833
HP,17.70415658,20.37762039,0.396785304,0,0.050921959,0,0.074570912,0.156963063,65,0.210934146,0.149560703,0.194422371,0.138499144
HQ,17.72582011,9.815093696,0.305467212,0,0.080568304,0,0.100335947,0.146192904,71,0.220589549,0.1084827,0.178617069,0.121270124
AH,18.12889745,10.32084664,0.173599004,0,0.068858462,0,0.075525166,0.095154836,44,0.17561622,0.087572568,0.149474134,0.101899004
FC,18.43856333,24.21714474,0.16636723,0,0.040133779,0,0.041809036,0.073937407,23,0.128050137,0.096986095,0.10976447,0.120984969
EJ,18.59362828,61.06539834,0.311710481,0,0.097824934,0,0.11746553,0.158492039,29,0.144388851,0.172934117,0.110823328,0.207871303
JD,19.28790087,10.6047285,0.189911984,0,0.060704168,0,0.064900199,0.094127082,28,0.144502077,0.070812981,0.126427303,0.091019025
BZ,19.65311517,14.32161839,0.123326286,0,0.0498132,0,0.049569319,0.066250426,33,0.158352622,0.089338181,0.144231305,0.100716869
F,19.661824,40.928,0.13198939,0,0.062329317,0,0.130179169,0.103203366,25,0.137858801,0.131451138,0.115462766,0.159101199
HU,20.19471875,120.5413887,0.23236342,0,0.047265625,0,0.060044415,0.102396038,80,0.249928906,0.403549835,0.159776963,0.488044969
HV,20.77356785,0.172598011,0.101550623,0,0.013762903,0,0.042901834,0.049809002,23,0.13591646,0.008187775,0.099142892,0.009521176
BS,20.79,1.068,0.088259109,0,0.082186235,0,0.072800223,0.071623297,20,0.12679287,0.018992613,0.121697839,0.023887715
BA,21.0619812,5.771453857,0.267816742,0,0.073600973,0,0.068636149,0.121195973,32,0.161427377,0.055847237,0.139567657,0.067617745
FO,21.13534433,9.092592593,0.254273504,0,0.023917422,0,0.038010136,0.09502026,24,0.140043474,0.060706273,0.107371191,0.067215499
LN,21.27432382,49.22210744,0.02145046,0,0.033939394,0,0.039312039,0.029072801,22,0.134521535,0.135230772,0.082922301,0.125994382
LO,21.61497524,99.90825742,0.26252354,0,0.054944809,0,0.070623755,0.116958328,59,0.222052653,0.315508296,0.207766366,0.395761307
FM,21.74161808,187.2742347,0.257035981,0,0.095314653,0,0.113822701,0.140905004,28,0.153418431,0.297578888,0.145781117,0.346685761
IC,21.79472007,94.42796996,0.302548515,0,0.080885781,0,0.123708003,0.154940216,52,0.209329246,0.287962599,0.195213721,0.333249898
DR,21.86373464,30.78794948,0.152714932,0,0.047337278,0,0.066240159,0.081053854,26,0.148252299,0.116268252,0.132855644,0.116411608
AB,21.96374512,8.62789917,0.247644928,0,0.057692308,0,0.113346209,0.12963093,32,0.164846897,0.068282845,0.164360861,0.062435002
JE,22.185984,5.246464,0.150724638,0,0.034698795,0,0.044095376,0.069077472,25,0.146440749,0.047063849,0.12161498,0.05341834
JW,22.50088154,34.23666407,0.204294079,0,0.089655172,0,0.115421096,0.12428093,29,0.158836883,0.129487786,0.133560661,0.134905327
V,22.8024375,10.93998438,0.171428571,0,0.045967742,0,0.056169047,0.082261212,40,0.187790329,0.085965151,0.161783682,0.092177567
KB,23.23177843,55.20517493,0.235152488,0,0.064285714,0,0.077523597,0.113360996,28,0.158588917,0.161567125,0.145384793,0.168384478
BD,23.54022244,1.430731023,0.117527862,0,0.087108014,0,0.092673545,0.089107293,21,0.138250757,0.022525411,0.117546713,0.022101221
D,24.25582269,4.092129977,0.134680135,0,0.04807396,0,0.047831695,0.068557713,22,0.143638855,0.038991517,0.12962628,0.049424626
BQ,24.51862013,2.352182086,0.070421106,0,0.066276803,0,0.063206177,0.059373738,27,0.159986186,0.032749256,0.12204237,0.02762077
AE,24.9725,46.649375,0.191735537,0,0.068627451,0,0.121122537,0.118599231,20,0.138962814,0.125522621,0.102277971,0.1531011
LL,25.02493299,50.11095939,0.061653702,0,0.066377603,0,0.065134189,0.057745258,39,0.194254619,0.181669804,0.175506577,0.199731028
LZ,25.718784,67.846656,0.129230769,0,0.092749004,0,0.095312479,0.09500501,25,0.157669543,0.169245961,0.11877709,0.195735038
N,25.73504449,33.47140104,0.263322884,0,0.048497142,0,0.068512708,0.114839071,29,0.169868969,0.128032442,0.099077503,0.140961262
IT,26.26314044,36.99950232,0.212780398,0,0.058925118,0,0.058869348,0.098281358,158,0.400547902,0.314203176,0.39465283,0.41795901
JF,26.47540741,102.9410741,0.202547771,0,0.037974684,0,0.053961723,0.089298902,30,0.175240524,0.228370005,0.147130673,0.210419723
KH,27.33346558,77.27331543,0.206617647,0,0.054479419,0,0.070106186,0.100137418,32,0.18389712,0.204349626,0.167648078,0.206627506
KC,28.311375,255.9195,0.181818182,0,0.052631579,0,0.053926952,0.086729737,20,0.147961276,0.29400233,0.126844103,0.359555188
EF,28.93132617,8.943966797,0.240526316,0,0.07058676,0,0.077352231,0.116039711,80,0.299145004,0.109924416,0.197896545,0.116098733
Z,29.56242766,41.99971065,0.346774194,0,0.140419948,0,0.129836007,0.182405812,24,0.165625903,0.130470659,0.090154039,0.143194835
IW,29.85781748,22.8978721,0.310689311,0,0.066889632,0,0.089018772,0.140626789,26,0.173248025,0.100269378,0.092751893,0.116378272
DW,30.62057495,12.34960938,0.16166368,0,0.420298165,0,0.398972856,0.290806892,32,0.194640965,0.081693158,0.199976595,0.088733848
AT,30.834304,7.014656,0.226507937,0,0.066791277,0,0.067010512,0.107066658,25,0.172639301,0.054419842,0.162712599,0.060070844
CM,31.01768405,8.202700652,0.151515152,0,0.069119287,0,0.074126103,0.08823732,39,0.216266662,0.073501266,0.182707632,0.088475489
CP,31.67271249,11.58939186,0.164383562,0,0.035523262,0,0.041762629,0.072450608,27,0.181834841,0.072693619,0.167382034,0.089910475
IN,32.07019043,4.462615967,0.304783951,0,0.093112245,0,0.075679891,0.138929916,32,0.199194961,0.049108179,0.166130901,0.055469659
IO,33.14342073,7.740281088,0.231613165,0,0.02173913,0,0.097311077,0.111339118,23,0.171678209,0.054831026,0.099020523,0.050204502
GR,33.24604082,13.60685714,0.209118541,0,0.06565624,0,0.07173536,0.103611206,35,0.21210777,0.089680293,0.195382366,0.106818652
FZ,34.661375,16.151375,0.1,0,0.0734375,0,0.084153409,0.077934546,20,0.163715757,0.07385907,0.16021391,0.091381779
FV,37.5936,77.344,0.184814815,0,0.033782991,0,0.042424242,0.078664402,25,0.190624866,0.18070385,0.159501848,0.190470727
EG,37.66353863,14.28283869,0.295640606,0,0.081677473,0,0.083807634,0.137181983,56,0.285566438,0.116221203,0.181615397,0.127024933
C,38.65020482,5.192535275,0.139457665,0,0.047337278,0,0.044463363,0.068604793,26,0.197112953,0.047748583,0.185044145,0.053838702
EB,38.73560496,43.38119534,0.231315043,0,0.098310292,0,0.118137022,0.135241799,28,0.204779641,0.14322336,0.180723668,0.160738478
FF,42.74622771,51.75694177,0.244397759,0,0.06680123,0,0.07037528,0.113922996,72,0.344959203,0.25086186,0.273975975,0.261773982
EM,42.98946246,29.73447046,0.248275862,0,0.088275862,0,0.090357493,0.127238516,29,0.219549573,0.120673856,0.186486151,0.145101271
IF,43.86756519,37.57250004,0.328206575,0,0.084511278,0,0.082023094,0.146791707,57,0.310929396,0.190176373,0.270128828,0.183509958
IE,48.86406108,70.50182346,0.255686887,0,0.047039703,0,0.069345715,0.112931241,59,0.333866908,0.265039294,0.262092902,0.276392648
GT,49.392,197.1855,0.198507463,0,0.041221374,0,0.050944321,0.088099492,20,0.195432098,0.258069435,0.171671632,0.272173474
HY,51.572864,22.8032,0.429090909,0,0.082749141,0,0.103532314,0.184657115,25,0.223271464,0.098118746,0.193432241,0.077071685
IU,52.24982574,162.3388874,0.201112347,0,0.06906038,0,0.069573139,0.101778272,58,0.342301664,0.39875796,0.325434805,0.515079365
CE,54.199375,0.647375,0.044444444,0,0.01294964,0,0.022240051,0.024926942,20,0.2047221,0.014786897,0.20665976,0.015436873
JG,56.4434947,25.26391058,0.354980737,0,0.075340192,0,0.066494631,0.146752566,23,0.224038912,0.099059993,0.176161574,0.107927965
KN,58.41945554,14.22134202,0.170617956,0,0.106535279,0,0.099159053,0.11159385,31,0.264613617,0.086284984,0.249635901,0.104587606
FG,61.47790111,75.72292115,0.532939189,0,0.063898335,0,0.066582199,0.197148135,74,0.419399556,0.307619332,0.420163286,0.405743333
IS,62.4695,204.506375,0.272477064,0,0.040298507,0,0.047217084,0.108381595,20,0.219786798,0.262816428,0.192580356,0.235074275
IG,63.80252907,85.64005321,0.313130765,0,0.071578947,0,0.089329726,0.142915013,76,0.432990465,0.331534971,0.351814755,0.403354118
KM,66.13465481,10.41347303,0.357443692,0,0.085766742,0,0.099353019,0.162568237,43,0.331589953,0.086959315,0.24221095,0.096388663
EK,68.3455363,23.14873905,0.212657826,0,0.097445875,0,0.121987012,0.131236371,49,0.359836909,0.138403093,0.254784999,0.154604783
IA,68.44041572,10.45560642,0.319590975,0,0.157801628,0,0.152873977,0.187195728,61,0.401766597,0.103782378,0.342205802,0.126365194
JU,70.01188843,20.80749886,0.343981481,0,0.072239422,0,0.077147229,0.147161474,27,0.270346261,0.097403802,0.204161683,0.094732903
GU,70.60468632,198.1775186,0.196555218,0,0.041710115,0,0.04660678,0.086082726,21,0.23943024,0.265106836,0.207145257,0.289129965
AQ,74.86959696,7.94034708,0.24241683,0,0.081931783,0,0.107486497,0.131131356,73,0.459691811,0.098938486,0.364931228,0.109724046
CZ,76.10371045,9.957315531,0.232600733,0,0.054654565,0,0.059980377,0.10397982,39,0.338756634,0.080981818,0.298350115,0.104321514
GZ,83.22405788,187.6367563,0.528990871,0,0.054726368,0,0.062809414,0.193200596,21,0.25994812,0.257960192,0.217479034,0.306172179
KF,85.29925208,352.9430427,0.344664032,0,0.146139858,0,0.126206668,0.18307686,23,0.27541597,0.370254475,0.238055519,0.44063663
EH,87.01991908,13.63072241,0.231309042,0,0.087058824,0,0.124081205,0.135552379,38,0.35756395,0.093526637,0.286994446,0.109517615
IR,89.06872074,197.671382,0.170754942,0,0.044021947,0,0.057557431,0.083400768,34,0.342180027,0.336895681,0.303270243,0.43540847
KE,89.34437157,232.3042481,0.25311943,0,0.092715232,0,0.095233027,0.132583871,36,0.352644764,0.375806175,0.277592226,0.452094002
AM,89.50096571,17.51189163,0.247969349,0,0.068578965,0,0.108467106,0.130579453,90,0.558068752,0.163144287,0.53447632,0.199804352
MA,97.73951367,43.86784375,0.230452675,0,0.088502935,0,0.078101532,0.117676744,80,0.549835366,0.243445765,0.544472407,0.254032332
LR,97.88104162,90.89292839,0.266091052,0,0.088164251,0,0.094213411,0.134633263,104,0.627362493,0.399545095,0.621665592,0.524680445
LV,101.2562799,70.76976417,0.234780557,0,0.074837813,0,0.085364208,0.11915113,52,0.451196005,0.24929274,0.407343219,0.273431433
JS,104.3104862,12.84941318,0.307368421,0,0.302422723,0,0.32027402,0.279304996,38,0.391478912,0.090806624,0.278548686,0.108370548
BV,123.792679,5.800021596,0.167650531,0,0.082539683,0,0.100379836,0.106781156,21,0.317036831,0.045353263,0.282446785,0.051458797
CB,133.201536,6.311296,0.085853659,0,0.061276596,0,0.067329467,0.065383247,25,0.35882047,0.051619449,0.303157084,0.060683811
GS,141.0607926,6.727783177,0.175681923,0,0.130685458,0,0.102041024,0.119759174,21,0.338427306,0.048846081,0.288054034,0.050206821
KI,148.6069606,39.43841108,0.276315789,0,0.087719298,0,0.08475093,0.13403647,28,0.401098633,0.136559779,0.318677389,0.153149966
JY,172.6103394,48.11621599,0.217756668,0,0.057567035,0,0.055583356,0.099349351,23,0.391786901,0.136707939,0.31965078,0.141454433
IH,174.7197074,125.8751207,0.315619968,0,0.078689966,0,0.067899669,0.137661854,27,0.427076248,0.239571922,0.383229381,0.274816613
CN,179.340676,16.16996005,0.143358396,0,0.040720175,0,0.042929236,0.068928902,21,0.381594089,0.075726556,0.28535316,0.093387241
JL,187.4156379,130.8691764,0.218206158,0,0.020984157,0,0.052380163,0.091173604,27,0.442320823,0.244278167,0.316152252,0.306718834
CU,219.826375,16.054375,0.172727273,0,0.043678161,0,0.068346226,0.088515475,20,0.412294448,0.073636949,0.340656848,0.086057748
BU,354.5075046,3.192311845,0.161583735,0,0.058608059,0,0.070489308,0.090113445,21,0.536506458,0.033647003,0.366379366,0.035285302
CJ,760.7043558,9.725447792,0.191815857,0,0.077608666,0,0.071348794,0.10640583,34,1,0.074727138,1,0.088563272
LQ,823.3989482,11.37161908,0.225998301,0,0.081619111,0,0.102992426,0.13025696,22,0.83689136,0.064998985,0.848963865,0.058992935
BI,947.7065249,6.355251736,0.107328145,0,0.06,0,0.05226404,0.071819628,24,0.937767433,0.050752342,0.945145189,0.055986833
