Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
KA,0.405207647,5.86891821,0.198910427,0,0.058314691,0,0.061265755,0.094698421,180,0.053104052,0.13356706,0.031836995,0.106990799
R,0.410185636,8.838546069,0.201654016,0,0.08091731,0,0.073751988,0.105045623,91,0.037989494,0.116545416,0.029401444,0.143014261
U,0.412671296,3.203141975,0.245631068,0,0.062551801,0,0.074410536,0.114506334,180,0.053590891,0.098675295,0.040435282,0.11122561
CR,0.456935945,1.637845687,0.141513789,0,0.063196502,0,0.071477172,0.08277703,183,0.056859861,0.071145285,0.04539247,0.083517377
LA,0.507462967,4.247310886,0.275595018,0,0.066029179,0,0.063735038,0.119850462,918,0.13420729,0.256603427,0.116164496,0.231287091
HT,0.554956239,79.39629554,0.19504644,0,0.072253559,0,0.09277853,0.109080859,34,0.027009803,0.213512676,0.022846903,0.15505883
HK,0.564929778,11.77834317,0.161795536,0,0.059114735,0,0.076008376,0.089747128,34,0.027251429,0.082236695,0.016843991,0.08864125
LC,0.587360201,6.873703983,0.245239481,0,0.101317609,0,0.105420113,0.134524978,475,0.103860797,0.234815252,0.080950243,0.248718997
LH,0.588201774,0.967781883,0.199722443,0,0.075755714,0,0.077234659,0.104768047,104,0.048633153,0.041227737,0.03764754,0.040149837
JK,0.613349654,6.044735751,0.278860768,0,0.058909209,0,0.086785565,0.128447579,37,0.029621532,0.061457319,0.020436491,0.042865341
EE,0.614732621,11.88469795,0.125642507,0,0.109167095,0,0.099211303,0.098434213,122,0.053848751,0.156479725,0.045364345,0.188061721
GI,0.625920845,6.253111822,0.17087345,0,0.060920734,0,0.060276765,0.086576449,27,0.025561962,0.053396657,0.012378279,0.06306253
CY,0.6473383,9.720224598,0.138248848,0,0.042831026,0,0.062311958,0.074081887,42,0.03242223,0.083032264,0.029137141,0.097909688
GK,0.694833333,4.689606481,0.337367304,0,0.042708333,0,0.072702222,0.136843646,60,0.040148427,0.068933116,0.028309852,0.056088556
EP,0.711473976,16.8607851,0.160220994,0,0.119329504,0,0.124521327,0.120690119,38,0.032331354,0.104019504,0.024781401,0.126473923
DB,0.7424,0.458848,0.084938272,0,0.073063209,0,0.071085118,0.067950838,50,0.037884065,0.019683554,0.029777131,0.025014494
K,0.77770544,22.04398148,0.164102564,0,0.087378641,0,0.082965579,0.09897045,24,0.026863697,0.094522397,0.019712065,0.119563775
KO,0.779988084,2.03613927,0.051135774,0,0.113505955,0,0.1147125,0.083421026,62,0.04324067,0.04617253,0.032272143,0.043391545
